year,Elon Musk,Larry Page,Sergey Brin,Jeff Bezos,Mark Zuckerberg,Larry Ellison,Bernard Arnault,Jensen Huang,Warren Buffett,Amancio Ortega,Rob Walton,Jim Walton,Michael Dell,Alice Walton,Steve Ballmer,Carlos Slim Helu,Changpeng Zhao,Michael Bloomberg,Bill Gates,Francoise B. Meyers,Mukesh Ambani,Giancarlo Devasini,Thomas Peterffy,Julia Koch,Charles Koch,Zhang Yiming,Zhong Shanshan,Jeff Yass,Dieter Schwarz,Larrea M. Velasco,Gautam Adani,Tadashi Yanai,Ma Huateng,Robin Zeng,Iris Fontbona,Masayoshi Son,Ken Griffin,Jacqueline Mars,John Mars,Lukas Walton,Giovanni Ferrero,Li Ka-shing,Mark Mateschitz,Gianluigi Aponte,Rafaela Aponte-Diamant,Andrea Pignataro,Klaus-Michael Kuehne,Thomas Frist Jr,Alain Wertheimer,Gerard Wertheimer,Savitri Jindal,Stephen Schwarzman,Paolo Ardoino,Jean-Louis van der Velde,William Ding,Miriam Adelson,Alexey Mordashov,Colin Huang,Eduardo Saverin,Eric Schmidt,Idan Ofer,Eyal Ofer,He Xiangjian,Abigail Johnson,Zheng Shuliang,Marilyn Simons,Robert Pera,Phil Knight,Michal Strnad,Lakshmi Mittal,Elaine Marshall,Shiv Nadar,Henry Samueli,Melinda F. Gates,Stefan Quandt,Reinhold Wuerth,Lyndal Stephens Greth,Len Blavatnik,Susanne Klatten,Vladimir Potanin,Vagit Alekperov,Francois Pinault  ,Jack Ma,Prajogo Pangestu,MacKenzie Scott,Aliko Dangote,Peter Thiel,Emmanuel Besnier,Leonid Mikhelson  ,Daniel Gilbert,Lei Jun,Andreas von Bechtolsheim  ,Pham Nhat Vuong,Vicky Safra  ,Jay Y. Lee,Cyrus Poonawalla,Rick Cohen  ,Israel Englander,Suleiman Kerimov  ,Dilip Shanghvi
2012,2,18.7,18.7,18.4,17.5,36,41,,44,37.5,,23.7,15.9,23.3,15.7,69,,22,61,,22.3,,5.4,,25,,,,,14.2,5.4,10,4.7,,17.8,7.2,3,13.8,13.8,,,25.5,,,,,9.8,3.2,,7.5,10.9,5.5,,,2.8,,15.3,,2,6.9,6.2,5.8,6.2,10.3,,,1.5,14.4,,20.7,,5,1.8,,11.2,5.2,,11.9,13,14.5,13.5,13,2.7,,,11.2,1.5,,11.9,1.5,,2.3,,,3.6,2.9,,2.3,6.5,7.4
2013,2.7,23,22.8,25.2,13.3,43,29,,53.5,57,,26.7,15.3,26.3,15.2,73,,27,67,,21.5,,5,,34,,,,19.5,16.7,3.1,13.3,6.8,,17.4,8.6,4.1,17,17,,,31,,,,,9,4.8,,8,7.6,6.5,,,3,,12.8,,2.2,8.2,6.5,6,3.1,12.7,,,,14.4,,16.5,8,6.5,1.7,,11.9,6,,16,14.3,14.3,14.8,15,3.4,,,16.1,1.6,4.3,15.4,3.5,1.75,2.8,1.5,,4.1,3.9,,3,7.1,9.4
2014,8.4,32.3,31.8,32,28.5,48,33.5,,58.2,64,,34.7,17.5,34.3,19.3,72,,33,76,,18.6,,8.8,,40,,,,21.1,14.7,2.8,17.9,13.4,,15.5,18.4,5.2,20,20,,,31,,,,,10.4,6.1,9,9,4.9,10,,,4.2,,10.5,,4.1,9.3,5.7,7,7.1,17.3,,,2.7,18.4,,16.7,8.8,11.1,1.95,,14.9,7.7,,18.7,17.4,12.6,13.6,15.5,10,,,25,2.2,7.9,15.6,3.7,4,3.8,1.6,,4.5,4.9,,3.3,6.9,12.8
2015,12,29.7,29.2,34.8,33.4,54.3,37.2,,72.7,64.5,,40.6,19.2,39.4,21.5,77.1,,35.5,79.2,,21,,10.9,,42.9,,,,19.4,13.9,6.6,20.2,16.1,,13.5,14.1,6.5,26.6,26.6,,,33.3,,,,,11.9,7.6,9.5,9.5,5.3,12,,,6.6,,13,,4.8,9.1,4.8,8.5,9.9,13.4,,,1.8,21.5,,13.5,,14.8,2.4,,15.6,6.7,,20.2,16.8,15.4,12.2,14.9,22.7,,,14.7,2.2,7.1,11.7,4.7,13.2,3.9,1.7,,7.2,6.6,,3.8,3.4,20
2016,10.7,35.2,34.4,45.2,44.6,43.6,34,,60.8,67,,33.6,19.8,32.3,23.5,50,,40,75,,19.3,,11.1,,39.6,,,,16.4,9.2,3.5,14.6,16.6,,10.1,11.7,7.5,23.4,23.4,10.4,,27.1,,,,,10,7.3,11,11,3.5,9.5,,,8.1,,10.9,,6.2,10.2,3.7,8.4,9,13.1,,,2,24.4,,8.4,,11.1,2.6,,15.6,8.1,,15.3,18.5,12.1,8.9,11.5,20.5,,,15.4,2.7,7.6,14.4,4.9,9.8,3.3,1.8,,6,8.5,,5,1.6,16.7
2017,13.9,40.7,39.8,72.8,56,52.2,41.5,,75.6,71.3,,34,20.4,33.8,30,54.5,,47.5,86,,23.2,,13.8,,48.3,,,,17,13.8,5.8,15.9,24.9,,13.7,21.2,8,27,27,11.3,,31.2,,,,,12.4,8.8,11.8,11.8,5.2,11.8,,,17.3,,17.5,,7.9,11.1,3.1,8.9,12.3,14.4,,,3,26.2,,16.4,,12.3,3.6,,18.3,10,,20,20.4,14.3,14.5,15.7,28.3,1.8,,12.2,2.7,11.3,18.4,5.8,6.8,4.5,2.4,,6,8.1,,5.2,6.3,13.7
2018,19.9,48.8,47.5,112,71,58.5,72,5.6,84,70,46.2,46.4,22.7,46,38.4,67.1,1.4,50,90,42.2,40.1,,20.3,,60,4,,,20.9,17.3,9.7,19.5,45.3,1.9,16.3,22.7,9,23.6,23.6,15.9,23,34.9,,,,,15.3,9.6,13,13,8.8,12.6,,,17.4,,18.7,,10.1,13.4,3.6,9.4,20.1,15.9,,,4.3,29.6,,18.5,,14.6,3.8,,22,13.6,,20.2,25,15.9,16.4,27,39,2.9,,14.1,2.5,14.7,18,6.3,12.5,6.8,4.3,,7.4,9.1,,5.2,6.4,12.8
2019,22.3,50.8,49.8,131,62.3,62.5,76,3.8,82.5,62.7,44.3,44.6,34.3,44.4,41.2,64,1.2,55.5,96.5,49.3,50,,17.1,,50.5,16.2,1.8,,22.6,13.3,8.7,22.2,38.8,6.8,15.4,21.6,11.7,23.9,23.9,15.2,22.4,31.7,,,,,12.9,12.4,14.6,14.6,5.9,13.2,,,,,20.5,,9.7,12.9,4.7,9.4,19.8,15.6,,,6.9,33.4,,13.6,,14.6,4.3,,17.5,11.2,,17.7,21,18.1,20.7,29.7,37.3,3.5,,10.4,2.5,14.3,24,6.7,9.6,6.4,6.6,,6.9,9.5,,6.4,6.3,7.6
2020,24.6,50.9,49.1,113,54.7,59,76,4.7,67.5,55.1,54.1,54.6,22.9,54.4,52.7,52.1,,48,98,48.9,36.8,,14.3,38.2,38.2,16.2,2,,19.8,11,8.9,19.7,38.1,9.7,10.8,16.6,12.1,24.7,24.7,18.4,24.5,21.7,,,,,14.2,7.5,17.1,17.1,4.8,15.4,,,,,16.8,,8.4,13.2,3.7,7.5,21.6,10.8,2.9,,7,29.5,,7.4,,11.9,3.5,,12.3,11.6,,17,16.8,19.7,15.2,27,38.8,3.5,36,8.3,2.3,12.7,17.1,6.5,9.2,5.7,5.6,,5,8.2,,6.6,10,6.1
2021,151,91.5,89,177,97,93,150,11.8,96,77,59.5,60.2,45.1,61.8,68.7,62.8,1.9,59,124,73.6,84.5,,25,46.4,46.4,35.6,68.9,12,36.9,25.9,50.5,44.1,65.8,28.4,23.3,45.4,16,31.3,31.3,15.6,35.1,33.7,,,,,26.3,15.7,34.5,34.5,9.7,21.9,,,,38.2,29.1,,14.6,18.9,6.1,11.1,37.7,20.9,8.6,,18.3,49.9,,14.9,,23.5,6.1,,21.6,16.8,,32,27.7,27,24.9,42.3,48.4,6.5,53,11.5,4.9,19.1,24.9,51.9,23,8.2,7.3,7.4,8.3,12.7,,9.6,15.8,10.9
2022,219,111,107,171,67.3,106,158,20.6,118,59.6,65,66.2,55.1,65.3,91.4,81.2,65,82,129,74.8,90.7,,20.1,60,60,50,65.7,12,47.1,30.8,90,26.1,37.2,44.8,22.8,21.3,27.2,31.7,31.7,16.5,36.2,34.8,,16.8,,,37.3,21.8,31.2,31.2,17.7,34.8,,,,27.5,13.2,,10.6,22.1,10.5,15.4,28.3,21.2,9.4,,14.6,47.3,,17.9,,28.7,7.3,6.2,20.7,19,,32.5,24.3,17.3,10.5,40.4,22.8,5.6,43.6,14,5,23.5,14,22,11.7,9.9,6.2,7.4,9.1,24.3,,11.5,4.4,15.6
2023,180,79.2,76,114,64.4,107,211,21.1,106,77.3,57.6,58.8,50.1,56.7,80.7,93,10.5,94.5,104,80.5,83.4,,25.3,59,59,45,68,28.5,42.9,26.6,47.2,32.6,35.3,33.4,23.1,22.4,35,38.3,38.3,21.2,38.9,38,34.7,31.2,31.2,,39.1,20.2,31.6,31.6,17.5,27.8,,,26.7,35,20.9,30.2,10.2,16.2,14,18.9,23.4,21.6,8.4,,15.5,45.1,2,17.7,,25.6,7.7,6.5,24.6,29.7,,32.1,27.4,23.7,20.5,40.1,23.5,5.3,24.4,14.2,4.2,22,21.6,18,9.7,8.6,4.3,16.7,7.9,22.6,9.6,11.3,10.5,15.6
2024,195,114,110,194,177,141,233,77,133,103,77.4,78.4,91,72.3,121,102,33,106,128,99.5,116,9.2,34,64.3,58.5,43.4,62.3,27.6,38,27.9,84,42.8,30.2,22.9,25.7,32.7,36.4,38.5,38.5,28,43.8,37.3,39.6,33.1,33.1,27.5,39.2,26.2,36.8,36.8,33.5,38.8,3.9,3.9,33.5,32,25.5,38.9,28,20.6,15.8,24,25.1,29,8,,6.4,40.9,4.4,16.4,24.5,36.9,14.1,11.1,27.3,33.6,,32.1,26.5,23.7,28.6,31.6,24.5,43.4,35.6,13.4,7.5,25.5,27.4,26.2,10.9,14.8,4.4,20.6,11.5,21.3,19.6,12.4,10.7,26.7
2025,342,144,138,215,216,192,178,98.7,154,124,110,109,97.7,101,118,82.5,62.9,105,108,81.6,92.5,22.4,57.3,74.2,67.5,65.5,57.7,59,41,28.6,56.3,45.1,56.2,37.9,28.1,29.4,42.3,42.6,42.6,37.9,38.2,38.9,40.6,37.7,37.7,34.2,39.6,27,36,36,35.5,44.4,9.5,9.5,33.3,32.1,28.6,42.3,34.5,24,22.5,28.2,27,32.7,15.4,31,15.7,35.4,4.5,19.2,28.3,34.5,19.7,30.4,23.8,35.1,25.8,29.9,25.2,24.2,28.7,21.7,28.6,20,28.2,23.9,16.3,24.5,28.4,27.8,43.5,17.9,6.5,20.7,8.2,23.1,12,14.2,16.4,24.9
2026,839,257,237,224,222,190,171,154,149,148,146,143,141,134,126,125,110,109,108,100,99.7,89.3,82.9,81.2,73.8,69.3,68.1,67.4,67.2,67.1,63.8,61.8,53.8,53.2,52.6,51.5,49.8,49.1,49.1,48.9,48.8,47,45.8,44.5,44.5,42.6,41.9,41.1,39.4,39.4,39.1,38.3,38,38,37.9,37.5,37,36.6,35.9,35.5,34.6,33.6,33.2,33.2,33.2,32.5,31.7,31.1,31.1,31,30.9,30.9,30.8,30.3,30.1,30.1,30,29.9,29.7,29.7,29.5,29.5,29.1,28.6,28.6,28.5,28.4,28.3,28.3,27.9,27.9,27.9,27.7,27.1,27,27,26.3,25.8,25.7,25.6
